export_id,score,question1,time1,question2,time2,question3,time3,question4,time4,question5,time5,question6,time6,question7,time7,question8,time8,question9,time9,question10,time10,question11,time11,question12,time12,question13,time13,question14,time14
61760,28,1,0.86,1,0.35,1,0.19,5,0.15,5,0.15,5,0.15,5,0.12,1,0.19,5,1.1,5,0.79,1,0.21,1,0.19,5,0.33,1,6.75
61761,21,1,4.59,2,2.03,1,1.58,4,6.83,4,8.53,1,2.58,2,1.66,2,7.15,4,4.12,1,3.62,2,1.33,5,4.12,4,2.5,2,3.66
61762,22,1,1.62,1,0.4,1,0.46,5,0.37,5,0.32,5,0.35,2,4.99,4,1.8,2,2.46,2,1.87,2,1.69,2,53.13,3,1.59,1,2.91
61763,27,1,0.74,1,1.0,1,0.66,5,0.61,5,0.54,5,0.43,4,0.36,1,0.8,5,0.66,5,0.52,1,0.65,1,1.12,5,0.55,1,1.68
61764,17,2,3.23,1,2.23,2,1.68,3,7.83,3,6.38,2,3.42,2,2.05,2,4.24,2,2.56,3,2.16,2,2.45,2,4.74,3,2.92,2,8.0
61765,14,2,10.05,2,3.12,2,0.57,2,4.41,2,5.16,1,3.66,2,1.85,1,4.56,2,3.32,4,3.25,1,6.96,3,5.6,2,4.99,2,3.68
61766,27,3,5.59,3,2.56,3,1.23,3,2.21,3,4.21,3,2.02,3,2.3,3,4.42,3,2.16,3,2.44,3,2.84,3,3.95,3,2.05,2,4.59
61767,9,1,0.84,1,0.44,1,0.44,1,1.74,2,4.28,2,1.72,1,1.32,1,2.02,3,1.38,2,1.93,1,1.16,4,1.39,2,1.04,1,3.0
61768,13,2,9.28,2,4.51,1,0.82,1,5.34,1,3.33,1,2.16,2,1.8,2,7.31,4,2.16,1,1.7,3,3.09,5,4.25,1,1.11,1,5.04
61769,6,1,2.02,1,0.66,1,0.55,1,2.5,1,5.38,1,3.51,1,1.74,1,5.84,1,1.96,2,3.2,1,5.21,5,3.62,2,4.23,1,3.7
61770,15,1,3.65,2,6.45,1,2.35,2,3.94,2,4.4,2,5.08,3,2.09,2,7.93,2,6.46,2,3.45,1,3.32,3,4.24,4,2.47,2,5.36
61771,10,1,1.18,1,2.26,2,3.21,2,1.06,2,0.46,2,1.59,2,1.88,1,2.69,1,2.55,2,5.05,1,1.59,4,2.64,2,1.63,1,3.19
61772,26,2,3.54,3,1.64,2,1.21,4,2.14,4,3.4,3,2.65,3,1.39,3,2.74,3,1.94,3,4.34,2,1.63,2,3.89,3,1.2,3,3.1
61773,27,1,1.75,2,0.21,1,0.21,4,0.26,5,0.19,5,0.15,4,0.26,1,0.28,5,0.26,5,0.16,1,0.2,1,0.31,5,0.26,1,8.65
61774,29,1,4.58,2,1.19,1,0.91,5,0.73,5,0.79,5,0.78,5,0.75,1,0.87,5,26.23,5,1.0,1,0.97,1,0.77,5,0.81,1,2.54
61775,28,3,6.33,3,2.12,3,0.92,3,3.75,4,3.07,3,5.79,3,1.99,3,3.29,3,1.96,3,0.92,3,3.2,3,2.65,2,1.7,3,6.81
61776,33,2,8.14,2,2.91,2,1.51,4,4.69,4,12.45,5,0.81,3,2.63,4,5.14,3,4.38,4,2.87,3,3.41,3,5.09,4,2.89,4,7.18
61777,21,2,2.65,2,3.13,2,2.5,2,2.29,3,3.83,2,6.65,3,2.3,3,8.64,2,4.59,4,10.15,1,2.01,3,0.78,3,2.9,3,8.01
61778,14,2,4.78,2,2.14,2,1.6,2,3.03,2,8.67,1,3.05,1,2.02,2,3.83,2,5.49,2,2.74,2,3.18,4,4.85,2,30.51,2,4.81
61779,26,1,0.93,1,0.05,2,0.16,5,0.13,5,0.09,5,0.06,4,0.06,1,0.07,4,0.08,5,0.12,1,0.04,1,0.7,4,0.28,1,2.17
61780,11,1,1.94,1,0.77,1,0.62,5,0.52,5,0.92,1,2.34,1,2.33,1,3.99,1,1.72,1,3.92,1,1.49,4,1.85,1,1.65,1,2.51
61781,17,1,2.2,1,0.55,2,0.42,5,1.06,5,0.4,5,0.57,1,0.85,1,3.44,1,0.69,1,2.21,1,0.58,5,0.77,1,1.83,1,4.47
61782,4,1,3.05,1,1.02,1,1.49,1,3.75,1,4.26,1,2.71,1,0.86,1,7.77,1,2.54,1,3.09,1,2.75,5,2.35,1,1.61,1,3.85
61783,16,2,15.79,1,5.62,2,1.81,3,8.46,2,4.15,2,3.83,3,3.39,2,7.5,2,4.18,2,2.36,2,4.11,3,10.51,2,3.25,2,4.48
61784,18,1,4.69,1,0.26,3,0.43,3,0.3,2,0.54,2,0.49,2,0.65,3,1.42,3,2.78,2,1.15,2,2.91,3,1.58,3,1.02,2,4.31
61785,15,2,2.4,2,3.28,2,3.76,1,10.66,3,2.25,1,0.56,1,5.3,2,3.66,1,3.76,3,2.85,1,2.54,5,5.18,3,3.86,2,5.93
61786,17,2,3.45,3,3.77,2,2.58,4,6.95,3,1.09,1,0.63,2,0.41,2,0.27,2,0.25,2,0.24,2,0.25,3,0.29,1,0.23,2,7.39
61787,17,3,7.76,3,3.17,2,1.86,1,6.08,3,2.81,2,1.72,3,1.98,3,3.29,2,3.91,1,1.23,1,1.76,5,2.12,1,2.13,1,4.27
61788,28,1,1.15,1,0.13,1,0.14,5,0.37,5,0.08,5,0.05,5,0.21,1,0.5,5,0.65,5,0.42,1,0.53,1,1.11,5,0.55,1,2.04
61789,11,1,2.14,1,1.22,2,1.12,2,2.79,2,3.44,2,2.03,1,1.63,2,5.18,2,2.68,1,1.58,2,2.84,2,7.42,3,3.81,2,9.74
61790,34,4,14.19,4,2.15,3,3.84,4,4.13,4,6.04,3,1.58,4,1.68,3,7.49,4,2.37,4,4.33,2,4.13,4,4.9,2,1.11,3,4.74
61791,27,1,2.04,1,0.25,1,0.29,5,0.41,5,0.25,5,0.18,4,0.27,1,0.24,5,0.23,5,0.22,1,0.45,1,0.18,5,0.07,1,2.32
61792,30,2,6.34,2,2.35,3,2.64,4,4.79,4,7.26,4,1.69,4,2.15,2,4.72,4,4.01,4,0.92,3,3.79,2,22.88,4,2.33,2,5.73
61794,13,2,7.27,1,1.61,1,1.65,2,4.25,2,3.49,2,2.57,2,3.2,3,3.73,2,3.18,1,5.73,1,1.81,4,2.9,2,5.2,2,4.25
61795,18,1,1.67,1,0.45,1,0.45,2,8.96,5,2.12,2,5.85,2,2.67,3,5.56,2,1.91,2,1.12,2,4.52,3,1.87,2,1.32,4,3.78
61796,15,1,1.76,1,1.35,1,0.38,5,0.27,5,0.31,1,3.49,1,1.0,4,4.7,1,2.67,3,3.08,1,1.84,3,2.16,1,1.63,1,3.08
61797,0,1,0.44,1,0.31,1,0.4,1,0.51,1,1.16,1,2.74,1,0.9,1,2.97,1,2.42,1,0.86,1,1.54,1,1.82,1,1.19,1,2.6
61798,27,1,0.46,1,0.11,2,0.12,4,0.1,5,0.12,5,0.12,5,0.25,1,0.11,5,0.11,5,0.11,1,0.54,1,0.5,4,0.28,1,2.37
61799,18,1,3.8,2,2.69,2,2.59,5,2.39,2,12.65,2,9.87,2,3.87,2,7.92,2,14.7,2,7.55,3,10.26,3,4.37,2,6.46,2,7.0
61800,11,1,1.1,1,0.48,1,0.69,2,3.44,2,3.08,2,1.21,2,1.72,2,6.1,2,2.18,2,1.98,1,1.56,4,4.51,2,2.43,1,3.75
61801,10,1,1.82,1,0.73,1,0.99,1,3.72,1,7.38,1,1.74,1,0.8,3,1.7,2,3.27,3,3.43,2,3.72,3,2.88,2,3.16,2,5.32
61802,20,1,0.79,1,0.17,1,0.02,5,0.11,5,2.19,5,0.96,5,2.37,1,1.37,1,4.24,1,1.36,1,1.85,1,2.46,4,2.38,2,5.75
61803,8,1,2.14,1,1.46,1,0.85,1,2.34,1,1.29,1,1.9,2,1.32,1,8.12,1,2.68,5,4.73,1,2.11,3,4.22,2,2.31,1,4.12
61804,28,1,1.76,1,0.44,1,0.47,5,0.39,5,0.46,5,0.42,4,0.42,1,0.48,5,0.54,4,0.42,1,0.31,2,0.51,5,0.46,2,2.69
61805,27,1,0.94,1,0.32,1,0.48,5,0.48,5,0.91,5,0.55,4,0.12,1,0.1,5,0.09,5,0.37,1,2.42,1,0.75,5,0.85,1,4.95
61806,28,1,12.41,1,0.49,1,0.43,5,0.41,5,0.33,5,0.37,5,0.24,1,0.3,5,0.46,5,0.29,1,0.34,1,0.25,5,0.4,1,2.21
61807,21,2,2.85,2,1.62,1,1.33,4,1.87,3,6.2,2,2.49,2,2.14,4,3.62,2,3.53,2,1.69,1,1.82,5,2.07,2,1.54,3,4.95
61808,13,1,3.41,1,2.18,1,1.01,1,3.74,1,2.47,1,2.25,2,1.99,3,4.39,2,3.4,3,2.11,3,5.18,4,2.58,2,1.68,2,3.71
61810,16,1,1.92,1,4.43,1,1.45,2,2.98,2,5.42,2,2.01,2,2.66,3,4.03,2,0.68,3,0.57,2,3.57,4,2.82,2,1.22,3,4.77
61811,28,1,0.77,1,0.64,1,0.54,5,0.5,5,0.32,5,0.41,5,0.46,1,0.42,5,0.42,5,0.52,1,0.48,1,0.48,5,0.53,1,2.87
61812,17,1,1.41,1,0.92,1,0.55,2,2.13,2,3.18,3,2.72,3,1.56,2,2.25,2,2.48,4,1.76,2,3.65,2,1.9,4,2.27,2,3.99
61813,32,2,2.2,3,2.62,1,1.99,4,2.6,4,2.24,4,2.5,3,2.71,4,4.53,4,3.16,5,1.8,3,3.05,3,3.39,4,2.13,2,8.85
61814,13,2,7.4,1,2.36,1,1.96,1,8.12,1,6.96,2,3.08,2,1.68,2,8.92,2,5.7,2,3.29,2,4.63,5,5.06,2,36.38,2,12.46
61815,23,1,185.92,1,1.43,1,0.73,3,3.49,2,7.0,3,2.31,2,2.74,4,3.36,3,1.32,3,2.65,4,2.12,3,4.65,4,2.44,3,4.77
61816,27,1,1.0,2,0.41,1,0.69,5,0.22,5,0.48,5,0.25,5,0.54,1,0.64,5,0.48,5,0.89,1,2.29,3,2.64,1,1.82,1,2.93
61817,14,2,4.22,2,3.82,2,1.77,2,4.88,2,3.53,1,5.42,3,2.99,2,6.58,2,4.53,1,17.46,1,10.77,4,3.79,2,3.26,2,4.54
61818,26,3,10.5,1,4.68,3,3.4,2,4.8,2,8.8,3,2.74,2,4.03,2,6.54,2,4.56,5,4.29,2,4.85,4,11.24,5,1.92,4,6.32
61819,24,2,2.91,2,1.25,2,0.52,3,3.42,3,0.26,2,3.48,3,0.71,3,3.6,3,2.8,5,4.42,2,3.72,2,3.37,3,3.0,3,3.33
61820,8,1,3.1,1,0.92,1,4.56,2,5.65,2,5.21,1,3.54,2,1.94,2,5.66,2,3.15,2,2.23,1,2.1,3,5.28,1,1.99,1,5.53
61821,22,1,0.88,1,1.13,1,0.64,4,0.39,4,0.7,4,0.48,4,0.51,2,0.6,4,2.47,1,4.39,2,4.23,5,3.89,2,2.09,1,5.04
61822,16,1,4.83,1,1.28,1,3.06,1,4.71,1,3.42,4,9.11,2,5.2,4,5.89,4,5.14,2,7.22,2,14.22,2,3.61,2,4.0,3,7.61
61823,2,1,1.47,1,2.49,1,1.52,1,3.96,1,2.54,1,2.74,1,0.77,2,4.16,1,2.22,1,2.6,1,1.92,2,3.86,1,7.12,1,4.01
61824,22,1,2.2,2,8.01,1,1.18,3,6.33,4,5.44,4,4.08,2,4.9,3,4.54,3,4.73,3,2.38,2,5.05,3,4.4,2,5.9,3,6.9
61825,23,2,2.85,2,4.75,2,1.3,3,6.18,3,10.07,3,7.0,3,4.21,3,4.97,3,4.09,3,2.24,2,2.5,3,3.46,3,1.99,2,8.9
61826,28,1,0.74,1,0.31,1,0.37,5,0.3,5,0.21,5,0.66,4,0.18,1,0.34,5,0.21,5,0.23,1,0.6,2,0.18,5,0.48,1,3.23
61827,18,2,37.14,2,7.49,2,2.42,2,1.08,2,3.34,4,5.55,2,2.86,2,3.29,2,2.95,4,3.71,1,10.25,4,6.86,2,1.61,1,4.46
61828,12,2,3.93,1,1.1,1,0.85,2,3.52,2,3.3,2,1.29,2,1.13,2,2.63,2,2.12,2,1.81,1,3.04,4,3.45,2,1.17,1,4.33
61829,27,1,2.83,1,2.44,1,1.04,5,0.79,5,0.55,5,0.41,5,0.24,1,2.42,5,0.28,5,0.3,1,0.2,1,2.42,3,2.73,2,5.09
61830,28,1,0.65,1,0.06,2,0.06,4,0.08,5,0.93,5,0.19,5,0.07,1,0.41,5,0.21,5,0.12,1,0.19,1,0.69,5,0.25,1,3.58
61831,14,1,1.22,1,1.92,1,0.66,2,4.9,2,2.89,2,7.66,2,1.38,1,3.81,2,3.64,2,2.37,1,0.41,5,4.19,3,1.99,3,4.6
61832,11,1,3.51,1,0.91,2,3.17,4,6.53,3,6.9,1,8.15,1,2.21,2,5.02,2,3.62,4,3.69,1,2.63,1,4.1,1,2.59,1,4.17
61833,28,2,4.07,2,3.48,2,2.18,4,14.08,4,5.58,3,5.0,4,4.31,2,5.92,4,4.25,4,5.94,3,3.71,4,5.38,3,3.05,1,5.73
61834,11,2,4.14,1,3.98,1,1.32,2,5.62,2,27.21,2,7.04,2,5.38,2,10.89,1,5.28,3,9.39,1,2.86,3,7.44,2,3.18,1,6.49
61835,22,2,3.58,2,1.91,2,1.73,3,5.11,3,3.84,3,3.04,3,3.17,2,3.64,3,2.35,3,2.26,1,5.68,4,4.89,3,4.2,2,5.91
61836,23,3,6.6,2,2.22,2,2.38,2,4.89,2,3.49,2,1.88,2,3.21,4,2.74,3,2.74,3,2.22,4,2.81,4,1.83,2,2.44,2,3.93
61837,21,1,5.26,1,1.51,1,3.23,2,4.68,2,4.95,2,2.98,5,2.0,3,6.72,3,2.58,2,3.43,3,5.04,4,5.82,3,2.42,3,4.49
61838,10,2,2.06,2,2.44,2,7.71,1,3.02,1,5.96,1,2.86,2,2.4,1,2.86,1,1.84,3,4.36,1,1.87,5,6.05,1,2.0,1,3.51
61839,9,2,6.24,2,5.19,1,2.93,2,6.3,1,3.28,2,3.17,2,1.6,2,7.39,2,4.14,2,1.34,1,1.58,1,3.28,2,1.88,1,2.29
61840,28,1,1.9,1,2.84,1,0.38,5,0.37,5,0.83,5,0.39,5,0.35,1,0.26,5,0.29,5,0.27,1,0.31,1,0.25,5,0.3,1,3.29
61841,26,1,0.8,1,1.7,2,0.55,3,0.57,5,0.45,4,0.36,5,0.44,2,0.4,5,0.45,3,15.24,2,7.26,4,2.64,2,3.45,1,3.54
61842,27,1,1.36,1,0.29,1,0.21,5,0.11,5,0.11,5,0.07,5,0.07,1,0.06,4,0.22,5,0.2,1,0.77,1,0.12,5,0.08,1,6.79
61843,16,2,4.7,1,33.28,2,7.2,3,4.82,2,2.81,2,2.56,2,6.79,2,4.18,2,3.53,2,7.64,1,5.45,4,2.92,3,3.31,2,5.37
61844,27,3,0.58,2,7.05,2,4.81,4,3.72,3,8.63,2,0.7,3,4.68,4,4.05,3,4.08,3,1.85,3,2.23,3,1.79,3,2.11,3,2.8
61845,13,1,1.64,1,0.65,2,1.18,2,4.94,2,2.57,2,2.2,2,2.16,2,8.58,2,3.68,2,2.4,2,1.16,4,27.1,2,2.89,1,5.34
61846,18,2,0.71,2,2.25,2,1.06,2,1.01,2,2.15,2,1.93,4,1.88,2,5.19,1,3.02,3,2.35,2,3.71,3,9.5,2,1.66,3,3.93
61847,10,1,13.18,1,2.72,1,2.27,2,6.53,2,5.85,1,3.84,1,1.81,1,7.41,2,6.39,5,2.93,1,2.06,3,2.89,2,2.67,1,7.25
61848,17,1,2.45,1,2.4,1,0.86,2,4.53,2,6.23,2,2.0,2,1.21,3,7.48,3,3.61,3,3.57,1,1.9,5,5.12,2,1.79,3,3.93
61849,16,2,4.7,1,3.15,2,4.89,2,8.23,2,5.07,2,3.41,2,2.4,2,4.67,2,11.12,3,2.47,3,4.14,2,7.57,3,5.53,2,7.27
61850,30,2,3.85,2,2.74,3,1.49,4,1.95,4,3.35,3,1.44,3,1.84,3,4.81,5,3.41,2,2.4,3,2.46,3,1.92,3,3.36,4,4.89
61851,16,1,1.35,1,0.31,1,2.45,3,5.08,3,0.77,3,0.22,2,3.23,3,5.71,3,11.31,2,1.43,2,4.58,2,3.14,3,4.06,1,3.41
61852,16,1,2.04,1,2.72,2,1.43,2,10.02,2,5.59,2,7.02,2,1.99,2,66.33,2,2.14,2,1.51,3,2.57,4,2.0,3,2.0,2,3.49
61853,12,2,4.27,2,1.77,1,0.9,5,0.97,1,2.36,2,2.95,2,1.59,1,2.93,2,2.74,2,3.29,1,2.77,3,4.58,1,2.33,1,5.92
61854,19,2,4.67,1,5.31,2,3.4,2,5.68,2,6.79,2,4.26,2,2.38,2,6.08,2,3.12,3,3.59,3,4.17,5,5.13,2,2.0,3,4.13
61855,20,2,4.93,1,3.7,2,2.92,4,4.04,3,4.54,2,5.21,2,3.61,2,6.41,2,5.29,2,4.36,3,3.3,4,3.44,2,2.36,3,6.11
61856,28,2,2.57,3,1.58,2,0.64,4,0.46,4,0.59,4,0.54,4,0.85,2,0.79,4,0.51,4,0.84,2,0.61,2,0.7,3,0.67,2,1.97
61857,39,5,4.48,4,7.47,5,1.86,3,2.53,4,3.31,3,2.96,4,3.03,4,4.3,3,3.04,4,2.75,2,2.53,4,6.63,4,4.22,4,4.18
61858,22,2,9.86,2,3.78,3,3.64,2,7.59,2,28.41,1,0.7,3,3.97,4,6.18,3,1.95,2,3.69,2,2.69,4,3.69,2,2.08,4,9.69
61859,24,2,4.89,1,5.11,2,3.02,2,3.75,4,2.84,4,2.32,2,2.73,1,5.07,4,2.5,5,2.1,2,3.06,3,3.34,4,3.38,2,6.49
61860,45,3,11.91,4,6.12,5,2.29,4,2.97,3,6.51,3,6.69,4,2.62,4,7.55,5,5.52,5,3.27,5,3.4,5,3.74,4,3.77,5,5.35
61861,28,1,1.92,1,0.28,1,0.48,5,0.33,5,0.23,5,0.42,5,0.16,1,0.69,5,0.51,5,1.81,1,1.19,1,3.21,5,2.42,1,4.88
61862,20,3,3.53,3,2.86,3,2.55,2,3.23,2,2.4,2,2.89,3,5.42,2,6.35,2,3.83,2,2.29,2,3.98,4,3.17,2,2.17,2,4.64
61863,27,1,1.21,1,0.16,1,0.13,4,0.13,5,0.18,5,0.15,5,0.09,1,0.17,5,0.15,5,0.15,1,0.16,1,0.17,5,0.2,1,2.19
61864,21,1,3.53,1,0.99,1,2.69,3,1.55,3,5.64,3,2.74,3,0.17,2,3.77,3,3.17,3,2.76,3,1.45,4,2.42,3,1.82,2,4.57
61865,11,1,2.15,1,0.3,1,0.52,3,2.23,2,1.81,2,1.59,2,2.5,1,6.54,2,1.48,2,2.1,1,1.61,4,1.97,2,2.23,1,5.63
61866,6,1,1.04,1,0.56,1,0.48,1,4.88,4,7.02,1,3.61,1,0.69,3,3.69,1,12.92,1,2.02,1,2.12,2,3.39,1,2.08,1,4.62
61867,11,2,4.41,1,1.81,1,1.0,1,5.86,2,7.37,1,1.96,2,0.88,3,7.19,1,2.47,1,3.62,2,3.18,5,4.42,1,2.94,2,6.58
61868,13,1,5.79,2,0.28,1,0.76,2,3.27,1,9.76,1,5.56,3,2.32,4,6.64,2,5.09,1,2.52,1,1.27,5,2.25,1,3.12,2,6.81
61869,39,4,7.25,3,4.02,4,1.68,4,3.87,4,6.47,4,3.34,4,2.05,4,5.01,4,2.77,4,2.38,2,4.04,4,9.55,4,6.43,4,8.21
61870,11,1,1.81,2,3.05,2,1.64,1,4.38,2,6.08,2,3.07,2,3.7,2,4.28,2,7.22,2,1.48,1,2.95,2,3.21,2,3.15,2,5.5
61871,10,2,3.25,2,1.61,2,2.61,2,17.08,1,13.77,1,0.85,1,0.85,2,24.81,1,30.67,1,1.2,2,7.87,5,2.99,1,0.91,1,3.57
61872,19,2,3.94,2,4.48,2,4.27,2,2.28,2,3.38,2,1.28,2,1.83,3,6.99,2,1.83,2,1.75,2,2.65,4,1.53,2,1.93,4,4.22
61873,12,1,6.47,1,0.78,1,11.18,2,0.86,2,5.46,2,4.7,2,1.91,2,7.3,3,4.8,3,12.29,1,3.85,4,4.8,1,4.78,1,3.96
61874,23,1,2.82,2,2.26,1,1.17,3,2.9,3,4.44,4,2.33,3,1.72,2,4.64,4,5.14,4,6.39,1,1.62,3,2.65,4,1.9,2,6.64
61875,10,2,3.99,1,3.59,2,1.52,3,3.6,3,8.01,1,8.78,1,2.61,1,5.46,2,6.89,1,4.26,2,3.51,2,5.74,1,2.25,2,5.76
61876,27,2,2.07,2,1.59,2,0.59,4,0.64,4,3.23,4,1.07,3,1.89,2,2.58,4,1.16,4,0.37,2,0.22,2,0.22,4,0.19,2,4.47
61877,6,1,2.19,2,1.79,1,10.53,1,2.05,1,2.1,1,1.82,1,1.64,1,3.72,1,2.34,1,1.54,2,6.87,5,7.12,1,1.14,1,6.0
61878,28,1,0.99,1,0.41,1,0.52,5,0.4,5,0.57,5,0.37,4,0.22,1,0.5,5,0.47,5,0.48,1,0.67,3,2.33,3,1.15,2,3.59
61879,20,1,2.27,1,2.46,1,1.87,3,4.42,2,0.68,2,3.45,3,8.46,3,5.35,3,3.34,3,5.63,3,4.28,3,3.63,3,5.55,3,2.71
61880,23,2,3.99,3,2.82,2,1.26,2,2.32,2,6.42,2,2.44,3,2.54,2,2.06,4,1.84,2,1.47,3,3.18,4,4.81,3,2.32,3,5.08
61881,27,2,7.08,3,5.81,3,10.94,3,6.21,4,13.61,4,4.35,3,3.25,2,8.16,4,12.53,3,30.95,2,3.16,3,5.01,3,3.37,2,4.01
61882,7,1,2.99,1,0.68,2,2.89,2,5.57,1,3.83,1,5.11,2,2.2,1,4.95,2,4.03,2,2.47,1,3.42,3,0.55,1,3.02,1,4.63
61883,35,3,0.93,3,2.16,3,1.28,4,2.76,3,2.89,4,2.59,4,1.39,3,3.83,4,1.91,4,1.63,2,3.35,5,2.79,2,2.51,5,3.78
61884,7,1,2.86,1,34.77,1,0.41,2,0.48,1,0.6,1,1.12,1,0.75,1,2.39,2,3.0,2,2.34,2,2.0,3,5.21,2,5.97,1,6.9
61885,28,2,2.42,2,1.33,2,0.88,4,0.52,4,0.99,4,0.99,4,2.54,2,2.74,4,3.71,4,22.97,2,1.45,2,1.32,4,0.85,2,4.43
61886,29,2,7.23,2,3.36,3,2.84,4,2.92,4,7.85,3,4.37,2,2.28,4,4.74,4,3.23,3,3.79,2,2.84,4,3.4,4,2.53,2,4.29
61887,24,2,11.79,1,3.59,3,2.81,4,4.97,3,8.17,3,4.4,2,5.66,3,5.07,4,4.19,2,4.39,3,4.15,3,5.24,4,2.59,1,7.23
61888,17,2,4.3,2,8.13,2,2.22,2,1.44,2,1.81,2,2.44,2,3.25,3,5.61,2,6.65,2,5.37,1,5.53,5,7.4,3,4.49,1,4.75
61889,13,1,1.85,1,0.61,1,3.65,1,3.53,3,5.64,1,1.31,4,2.09,1,8.88,4,3.65,3,2.55,1,4.09,3,3.97,2,2.04,1,3.78
61890,22,2,1.89,2,2.25,1,1.08,5,2.18,3,12.18,1,2.86,2,1.84,4,2.19,2,2.1,3,1.89,2,3.12,5,5.14,2,2.45,2,4.18
61891,15,2,4.09,2,2.91,2,2.36,2,5.57,2,4.02,1,3.43,2,1.92,2,6.16,2,2.51,3,4.97,2,4.72,3,7.14,2,3.61,2,5.49
